,,PM2.5,PM10,CO,NO2,SO2,O3,time
2315,2315,30,19,0.81,60,9,13,2019/2/18 21:00
2316,2316,31,22,1.1,51,8,21,2019/2/18 22:00
2317,2317,43,37,1.02,42,9,34,2019/2/18 23:00
2318,2318,29,28,0.69,27,8,46,2019/2/19 0:00
2319,2319,14,8,0.6,18,8,56,2019/2/19 1:00
2320,2320,11,6,0.65,19,8,57,2019/2/19 2:00
2321,2321,12,8,0.64,17,8,60,2019/2/19 3:00
2322,2322,9,10,0.73,21,8,56,2019/2/19 4:00
2323,2323,18,7,0.77,24,8,51,2019/2/19 5:00
2324,2324,17,8,0.91,31,8,42,2019/2/19 6:00
2325,2325,20,13,0.92,32,8,42,2019/2/19 7:00
2326,2326,12,11,0.88,27,8,48,2019/2/19 8:00
2327,2327,20,13,0.83,26,8,51,2019/2/19 9:00
2328,2328,28,27,0.8,25,8,53,2019/2/19 10:00
2329,2329,,,,,,,2019/2/19 11:00
2330,2330,,,,,,,2019/2/19 12:00
2331,2331,,,,,,,2019/2/19 13:00
2332,2332,30,985,0.82,18,7,48,2019/2/19 14:00
2333,2333,25,29,0.92,21,7,49,2019/2/19 15:00
2334,2334,29,35,1.01,31,8,42,2019/2/19 16:00
2335,2335,33,33,1.12,39,8,33,2019/2/19 17:00
2336,2336,40,42,1.27,42,9,28,2019/2/19 18:00
2337,2337,48,44,1.29,45,9,26,2019/2/19 19:00
2338,2338,48,56,1.25,46,8,23,2019/2/19 20:00
2339,2339,50,47,1.18,45,8,22,2019/2/19 21:00
2340,2340,50,43,1.02,37,9,30,2019/2/19 22:00
2341,2341,53,42,1,26,8,36,2019/2/19 23:00
2342,2342,53,52,1.03,21,9,38,2019/2/20 0:00
2343,2343,61,57,1.03,13,8,49,2019/2/20 1:00
2344,2344,64,64,1.03,8,8,55,2019/2/20 2:00
2345,2345,,,,,,,2019/2/20 3:00
2346,2346,,,,,,,2019/2/20 4:00
2347,2347,,,,,,,2019/2/20 5:00
2348,2348,77,62,1.17,33,10,28,2019/2/20 6:00
2349,2349,84,79,1.31,32,14,29,2019/2/20 7:00
2350,2350,89,85,1.3,34,14,29,2019/2/20 8:00
2351,2351,89,94,1.31,35,13,33,2019/2/20 9:00
2352,2352,83,82,1.37,38,11,28,2019/2/20 10:00
2353,2353,87,95,1.37,37,12,32,2019/2/20 11:00
2354,2354,89,90,1.21,32,11,42,2019/2/20 12:00
2355,2355,92,78,1.37,42,11,34,2019/2/20 13:00
2356,2356,94,91,1.36,42,12,35,2019/2/20 14:00
2357,2357,93,92,1.43,47,12,31,2019/2/20 15:00
2358,2358,97,92,1.42,45,10,33,2019/2/20 16:00
2359,2359,89,89,1.46,48,10,30,2019/2/20 17:00
2360,2360,94,93,1.46,42,10,38,2019/2/20 18:00
2361,2361,102,102,1.43,43,10,39,2019/2/20 19:00
2362,2362,107,101,1.46,42,10,40,2019/2/20 20:00
2363,2363,109,111,1.43,37,10,46,2019/2/20 21:00
2364,2364,117,114,1.41,30,10,54,2019/2/20 22:00
2365,2365,111,111,1.35,24,11,63,2019/2/20 23:00
2366,2366,111,110,1.34,26,11,60,2019/2/21 0:00
2367,2367,113,112,1.32,23,12,64,2019/2/21 1:00
2368,2368,118,120,1.36,16,11,76,2019/2/21 2:00
2369,2369,120,122,1.48,20,12,67,2019/2/21 3:00
2370,2370,108,117,1.25,19,11,70,2019/2/21 4:00
2371,2371,101,105,1.28,24,12,62,2019/2/21 5:00
2372,2372,101,105,1.27,26,11,59,2019/2/21 6:00
2373,2373,94,95,1.29,34,11,56,2019/2/21 7:00
2374,2374,97,97,1.31,35,12,55,2019/2/21 8:00
2375,2375,87,92,1.34,37,13,56,2019/2/21 9:00
2376,2376,93,100,1.45,41,14,51,2019/2/21 10:00
2377,2377,89,101,1.43,43,13,50,2019/2/21 11:00
2378,2378,94,107,1.4,42,13,51,2019/2/21 12:00
2379,2379,98,103,1.44,43,13,55,2019/2/21 13:00
2380,2380,97,108,1.39,42,14,56,2019/2/21 14:00
2381,2381,101,99,1.53,49,13,46,2019/2/21 15:00
2382,2382,100,105,1.47,47,11,47,2019/2/21 16:00
2383,2383,106,110,1.48,51,10,40,2019/2/21 17:00
2384,2384,106,111,1.54,54,10,38,2019/2/21 18:00
2385,2385,129,132,1.63,53,11,38,2019/2/21 19:00
2386,2386,138,139,1.54,43,11,46,2019/2/21 20:00
2387,2387,110,122,1.45,36,10,51,2019/2/21 21:00
2388,2388,92,88,1.35,33,10,47,2019/2/21 22:00
2389,2389,85,81,1.29,30,9,49,2019/2/21 23:00
2390,2390,63,64,1.17,27,9,56,2019/2/22 0:00
2391,2391,48,43,1.16,28,10,58,2019/2/22 1:00
2392,2392,53,46,0.97,17,11,78,2019/2/22 2:00
2393,2393,38,26,0.96,17,8,79,2019/2/22 3:00
2394,2394,29,26,1.03,23,13,72,2019/2/22 4:00
2395,2395,31,23,1.06,30,10,60,2019/2/22 5:00
2396,2396,30,22,1.18,53,10,34,2019/2/22 6:00
2397,2397,42,27,1.18,51,12,38,2019/2/22 7:00
2398,2398,46,39,1.13,42,11,49,2019/2/22 8:00
2399,2399,33,27,1.2,33,9,55,2019/2/22 9:00
2400,2400,42,36,1.4,33,9,48,2019/2/22 10:00
2401,2401,64,53,1.36,32,9,57,2019/2/22 11:00
2402,2402,67,59,1.41,33,9,60,2019/2/22 12:00
2403,2403,87,81,1.52,34,9,60,2019/2/22 13:00
2404,2404,81,78,1.4,35,8,60,2019/2/22 14:00
2405,2405,66,59,1.29,34,8,68,2019/2/22 15:00
2406,2406,51,55,1.38,38,8,62,2019/2/22 16:00
2407,2407,50,65,1.5,40,9,57,2019/2/22 17:00
2408,2408,73,72,1.48,43,9,52,2019/2/22 18:00
2409,2409,76,82,1.48,45,9,45,2019/2/22 19:00
2410,2410,78,81,1.4,44,9,42,2019/2/22 20:00
2411,2411,77,84,1.41,45,8,45,2019/2/22 21:00
2412,2412,68,81,1.48,55,9,30,2019/2/22 22:00
2413,2413,77,81,1.44,44,9,35,2019/2/22 23:00
2414,2414,80,89,1.44,45,10,31,2019/2/23 0:00
2415,2415,88,92,1.57,52,10,16,2019/2/23 1:00
2416,2416,86,98,1.52,50,10,26,2019/2/23 2:00
2417,2417,90,108,1.59,54,9,14,2019/2/23 3:00
2418,2418,83,90,1.55,50,9,22,2019/2/23 4:00
2419,2419,87,105,1.84,54,10,11,2019/2/23 5:00
2420,2420,95,111,1.8,56,11,19,2019/2/23 6:00
2421,2421,96,113,1.59,48,12,32,2019/2/23 7:00
2422,2422,115,132,1.64,57,13,33,2019/2/23 8:00
2423,2423,134,150,1.94,62,14,35,2019/2/23 9:00
2424,2424,161,172,2.74,69,16,30,2019/2/23 10:00
2425,2425,177,199,2.6,66,18,44,2019/2/23 11:00
2426,2426,192,211,2.69,64,20,59,2019/2/23 12:00
2427,2427,186,209,2.08,52,19,100,2019/2/23 13:00
2428,2428,154,166,2.18,63,20,97,2019/2/23 14:00
2429,2429,169,188,2.15,65,20,75,2019/2/23 15:00
2430,2430,161,180,2.04,79,16,48,2019/2/23 16:00
2431,2431,152,172,1.91,86,13,21,2019/2/23 17:00
2432,2432,136,167,1.88,81,12,20,2019/2/23 18:00
2433,2433,137,161,1.92,80,12,19,2019/2/23 19:00
2434,2434,142,165,2.13,98,12,4,2019/2/23 20:00
2435,2435,148,174,2.44,100,13,3,2019/2/23 21:00
2436,2436,146,184,2.64,81,14,2,2019/2/23 22:00
2437,2437,143,185,2.5,72,12,3,2019/2/23 23:00
2438,2438,131,167,2.2,65,11,3,2019/2/24 0:00
2439,2439,121,158,2.45,54,11,2,2019/2/24 1:00
2440,2440,124,147,2.36,49,12,2,2019/2/24 2:00
2441,2441,109,136,2.34,46,11,3,2019/2/24 3:00
2442,2442,109,136,2.31,51,12,2,2019/2/24 4:00
2443,2443,111,146,2.39,60,11,2,2019/2/24 5:00
2444,2444,106,129,2.43,59,11,3,2019/2/24 6:00
2445,2445,84,109,2.56,61,13,4,2019/2/24 7:00
2446,2446,78,103,2.58,67,13,5,2019/2/24 8:00
2447,2447,114,141,2.74,80,15,7,2019/2/24 9:00
2448,2448,135,165,2.66,95,16,14,2019/2/24 10:00
2449,2449,,,,,,,2019/2/24 11:00
2450,2450,,,,,,,2019/2/24 12:00
2451,2451,,,,,,,2019/2/24 13:00
2452,2452,,,,,,,2019/2/24 14:00
2453,2453,,,,,,,2019/2/24 15:00
2454,2454,,,,,,,2019/2/24 16:00
2455,2455,,,,,,,2019/2/24 17:00
2456,2456,,,,,,,2019/2/24 18:00
2457,2457,,,,,,,2019/2/24 19:00
2458,2458,,,,,,,2019/2/24 20:00
2459,2459,,,,,,,2019/2/24 21:00
2460,2460,,,,,,,2019/2/24 22:00
2461,2461,,,,,,,2019/2/24 23:00
2462,2462,,,,,,,2019/2/25 0:00
2463,2463,,,,,,,2019/2/25 1:00
2464,2464,,,,,,,2019/2/25 2:00
2465,2465,,,,,,,2019/2/25 3:00
2466,2466,,,,,,,2019/2/25 4:00
2467,2467,,,,,,,2019/2/25 5:00
2468,2468,,,,,,,2019/2/25 6:00
2469,2469,,,,,,,2019/2/25 7:00
2470,2470,,,,,,,2019/2/25 8:00
2471,2471,,,,,,,2019/2/25 9:00
2472,2472,,,,,,,2019/2/25 10:00
2473,2473,,,,,,,2019/2/25 11:00
2474,2474,,,,,,,2019/2/25 12:00
2475,2475,,,,,,,2019/2/25 13:00
2476,2476,,,,,,,2019/2/25 14:00
2477,2477,,,,,,,2019/2/25 15:00
2478,2478,,,,,,,2019/2/25 16:00
2479,2479,,,,,,,2019/2/25 17:00
2480,2480,159,201,1.53,79,19,90,2019/2/25 18:00
2481,2481,142,178,1.29,66,17,75,2019/2/25 19:00
2482,2482,101,129,1.34,94,15,32,2019/2/25 20:00
2483,2483,93,125,1.27,86,14,24,2019/2/25 21:00
2484,2484,73,97,1.1,46,13,50,2019/2/25 22:00
2485,2485,63,84,1.16,36,12,58,2019/2/25 23:00
2486,2486,72,81,1.29,30,12,58,2019/2/26 0:00
2487,2487,88,97,1.31,37,13,45,2019/2/26 1:00
2488,2488,101,116,1.35,36,13,41,2019/2/26 2:00
2489,2489,109,122,1.35,34,12,41,2019/2/26 3:00
2490,2490,100,109,1.46,30,12,42,2019/2/26 4:00
2491,2491,,,,,,,2019/2/26 5:00
2492,2492,,,,,,,2019/2/26 6:00
2493,2493,105,115,1.61,34,12,51,2019/2/26 7:00
2494,2494,108,120,1.45,26,12,69,2019/2/26 8:00
2495,2495,84,106,1.34,29,14,92,2019/2/26 9:00
2496,2496,,,,,,,2019/2/26 10:00
2497,2497,,,,,,,2019/2/26 11:00
2498,2498,121,316,0.63,33,10,73,2019/2/26 12:00
2499,2499,,,,,,,2019/2/26 13:00
2500,2500,,,,,,,2019/2/26 14:00
2501,2501,,,,,,,2019/2/26 15:00
2502,2502,36,83,1.24,44,10,26,2019/2/26 16:00
2503,2503,37,53,1.22,38,9,37,2019/2/26 17:00
2504,2504,33,47,1.11,27,9,44,2019/2/26 18:00
2505,2505,30,35,1.12,36,8,47,2019/2/26 19:00
2506,2506,27,32,1.07,36,8,45,2019/2/26 20:00
2507,2507,26,28,1.05,30,8,52,2019/2/26 21:00
2508,2508,27,35,1.02,26,9,54,2019/2/26 22:00
2509,2509,27,41,1.02,21,9,59,2019/2/26 23:00
2510,2510,29,32,1,20,9,63,2019/2/27 0:00
2511,2511,30,38,0.98,23,9,63,2019/2/27 1:00
2512,2512,33,40,1.01,16,9,66,2019/2/27 2:00
2513,2513,35,37,0.94,17,8,70,2019/2/27 3:00
2514,2514,32,28,0.96,18,8,68,2019/2/27 4:00
2515,2515,35,42,1.04,21,9,66,2019/2/27 5:00
2516,2516,41,34,1.21,32,9,57,2019/2/27 6:00
2517,2517,39,43,1.2,33,9,55,2019/2/27 7:00
2518,2518,38,46,1.13,33,9,56,2019/2/27 8:00
2519,2519,38,56,1.1,33,9,56,2019/2/27 9:00
2520,2520,43,46,1.15,39,9,56,2019/2/27 10:00
2521,2521,47,62,1.18,40,10,57,2019/2/27 11:00
2522,2522,51,57,1.21,29,9,66,2019/2/27 12:00
2523,2523,53,53,1.14,26,9,77,2019/2/27 13:00
2524,2524,46,45,1.22,30,9,79,2019/2/27 14:00
2525,2525,47,48,1.22,35,9,77,2019/2/27 15:00
2526,2526,,,,,,,2019/2/27 16:00
2527,2527,48,51,1.2,53,9,60,2019/2/27 17:00
2528,2528,44,51,1.12,38,9,68,2019/2/27 18:00
2529,2529,45,42,1.06,45,9,63,2019/2/27 19:00
2530,2530,,,,,,,2019/2/27 20:00
2531,2531,,,,,,,2019/2/27 21:00
2532,2532,,,,,,,2019/2/27 22:00
2533,2533,42,32,1.02,20,9,70,2019/2/27 23:00
2534,2534,,,,,,,2019/2/28 0:00
2535,2535,,,,,,,2019/2/28 1:00
2536,2536,48,49,1.07,28,9,61,2019/2/28 2:00
2537,2537,,,,,,,2019/2/28 3:00
2538,2538,,,,,,,2019/2/28 4:00
2539,2539,71,73,1.14,23,9,58,2019/2/28 5:00
2540,2540,58,65,1.17,36,9,50,2019/2/28 6:00
2541,2541,55,66,1.17,38,9,49,2019/2/28 7:00
2542,2542,53,62,1.2,38,9,49,2019/2/28 8:00
2543,2543,52,59,1.11,31,10,55,2019/2/28 9:00
2544,2544,50,56,1.17,38,10,58,2019/2/28 10:00
2545,2545,48,53,1.19,42,10,56,2019/2/28 11:00
2546,2546,58,64,1.27,57,11,45,2019/2/28 12:00
2547,2547,63,79,1.22,53,11,52,2019/2/28 13:00
2548,2548,54,77,1.22,47,10,63,2019/2/28 14:00
2549,2549,52,66,1.16,42,10,68,2019/2/28 15:00
2550,2550,48,62,1.21,51,10,64,2019/2/28 16:00
2551,2551,57,75,1.3,52,10,67,2019/2/28 17:00
2552,2552,70,114,1.48,67,10,65,2019/2/28 18:00
2553,2553,77,92,1.59,69,10,56,2019/2/28 19:00
2554,2554,76,105,1.91,69,10,43,2019/2/28 20:00
2555,2555,79,106,1.81,68,10,39,2019/2/28 21:00
2556,2556,93,106,1.74,68,10,39,2019/2/28 22:00
2557,2557,84,106,1.74,62,10,44,2019/2/28 23:00
2558,2558,81,100,1.51,66,10,41,2019/3/1 0:00
2559,2559,90,109,1.33,64,10,42,2019/3/1 1:00
2560,2560,77,105,1.38,63,10,45,2019/3/1 2:00
2561,2561,74,90,1.32,49,10,48,2019/3/1 3:00
2562,2562,72,83,1.38,49,10,50,2019/3/1 4:00
2563,2563,72,89,1.58,54,12,43,2019/3/1 5:00
2564,2564,69,89,2.03,63,12,37,2019/3/1 6:00
2565,2565,70,92,1.96,57,12,35,2019/3/1 7:00
2566,2566,58,88,1.89,54,13,45,2019/3/1 8:00
2567,2567,53,89,1.98,58,14,46,2019/3/1 9:00
2568,2568,55,86,1.6,52,13,57,2019/3/1 10:00
2569,2569,48,79,1.48,45,13,71,2019/3/1 11:00
2570,2570,64,82,1.6,50,13,78,2019/3/1 12:00
2571,2571,65,95,1.53,42,12,85,2019/3/1 13:00
2572,2572,59,90,1.56,44,12,90,2019/3/1 14:00
2573,2573,71,103,1.65,52,11,91,2019/3/1 15:00
2574,2574,80,107,1.79,62,11,87,2019/3/1 16:00
2575,2575,85,114,1.88,65,11,84,2019/3/1 17:00
2576,2576,104,122,2.2,64,11,72,2019/3/1 18:00
2577,2577,167,193,2.1,49,10,72,2019/3/1 19:00
2578,2578,186,207,2.02,36,10,81,2019/3/1 20:00
2579,2579,161,189,1.83,28,10,100,2019/3/1 21:00
2580,2580,141,156,1.85,25,10,105,2019/3/1 22:00
2581,2581,120,149,1.88,24,11,102,2019/3/1 23:00
2582,2582,108,138,1.81,26,11,94,2019/3/2 0:00
2583,2583,104,124,1.68,23,11,90,2019/3/2 1:00
2584,2584,75,99,1.66,22,11,87,2019/3/2 2:00
2585,2585,80,89,1.73,22,11,89,2019/3/2 3:00
2586,2586,86,100,1.84,23,11,88,2019/3/2 4:00
2587,2587,84,103,1.7,26,11,93,2019/3/2 5:00
2588,2588,71,91,1.86,44,11,74,2019/3/2 6:00
2589,2589,96,118,1.96,41,11,69,2019/3/2 7:00
2590,2590,97,114,1.95,43,11,70,2019/3/2 8:00
2591,2591,68,86,1.72,39,10,83,2019/3/2 9:00
2592,2592,70,81,1.86,37,10,96,2019/3/2 10:00
2593,2593,102,113,1.98,46,10,94,2019/3/2 11:00
2594,2594,150,157,1.96,38,10,102,2019/3/2 12:00
2595,2595,151,166,1.74,36,10,97,2019/3/2 13:00
2596,2596,102,118,1.56,30,11,99,2019/3/2 14:00
2597,2597,60,83,1.57,34,10,101,2019/3/2 15:00
2598,2598,74,90,1.58,39,10,98,2019/3/2 16:00
2599,2599,67,99,1.64,40,10,94,2019/3/2 17:00
2600,2600,57,78,1.49,38,10,89,2019/3/2 18:00
2601,2601,45,69,1.43,38,10,89,2019/3/2 19:00
2602,2602,42,65,1.45,41,10,84,2019/3/2 20:00
2603,2603,44,73,1.43,36,10,91,2019/3/2 21:00
2604,2604,44,67,1.5,40,10,93,2019/3/2 22:00
2605,2605,46,71,1.48,81,11,63,2019/3/2 23:00
2606,2606,50,87,1.59,65,10,49,2019/3/3 0:00
2607,2607,51,85,1.41,54,11,60,2019/3/3 1:00
2608,2608,49,85,1.37,39,11,72,2019/3/3 2:00
2609,2609,51,74,1.39,35,11,78,2019/3/3 3:00
2610,2610,51,75,1.4,36,11,78,2019/3/3 4:00
2611,2611,58,76,1.44,44,11,77,2019/3/3 5:00
2612,2612,61,84,1.45,49,11,62,2019/3/3 6:00
2613,2613,68,96,1.56,48,10,58,2019/3/3 7:00
2614,2614,73,90,1.56,57,11,58,2019/3/3 8:00
2615,2615,68,101,1.68,57,11,57,2019/3/3 9:00
2616,2616,69,96,1.64,55,12,65,2019/3/3 10:00
2617,2617,68,96,1.79,45,11,71,2019/3/3 11:00
2618,2618,60,87,1.68,26,11,94,2019/3/3 12:00
2619,2619,51,71,1.38,25,10,104,2019/3/3 13:00
2620,2620,38,65,1.33,25,10,104,2019/3/3 14:00
2621,2621,41,61,1.33,27,9,106,2019/3/3 15:00
2622,2622,38,67,1.41,32,9,101,2019/3/3 16:00
2623,2623,56,87,1.44,29,9,99,2019/3/3 17:00
2624,2624,57,91,1.42,25,9,98,2019/3/3 18:00
2625,2625,52,80,1.43,31,9,93,2019/3/3 19:00
2626,2626,53,76,1.36,27,9,88,2019/3/3 20:00
2627,2627,61,76,1.42,33,9,82,2019/3/3 21:00
2628,2628,62,77,1.4,29,9,81,2019/3/3 22:00
2629,2629,66,83,1.39,32,9,79,2019/3/3 23:00
2630,2630,81,99,1.38,30,9,75,2019/3/4 0:00
2631,2631,69,92,1.4,28,9,75,2019/3/4 1:00
2632,2632,69,92,1.42,25,9,76,2019/3/4 2:00
2633,2633,68,90,1.48,29,10,70,2019/3/4 3:00
2634,2634,75,113,1.58,34,9,65,2019/3/4 4:00
2635,2635,78,104,1.77,45,10,61,2019/3/4 5:00
2636,2636,84,107,1.89,60,11,30,2019/3/4 6:00
2637,2637,82,128,1.92,68,12,15,2019/3/4 7:00
2638,2638,94,135,1.84,60,11,28,2019/3/4 8:00
2639,2639,87,117,1.98,39,12,59,2019/3/4 9:00
2640,2640,84,102,1.78,36,11,73,2019/3/4 10:00
2641,2641,82,111,1.69,32,11,83,2019/3/4 11:00
2642,2642,85,113,1.53,24,10,97,2019/3/4 12:00
2643,2643,67,96,1.52,22,9,111,2019/3/4 13:00
2644,2644,,,,,,,2019/3/4 14:00
2645,2645,,,,,,,2019/3/4 15:00
2646,2646,,,,,,,2019/3/4 16:00
2647,2647,,,,,,,2019/3/4 17:00
2648,2648,,,,,,,2019/3/4 18:00
2649,2649,,,,,,,2019/3/4 19:00
2650,2650,,,,,,,2019/3/4 20:00
2651,2651,93,127,1.13,50,11,82,2019/3/4 21:00
2652,2652,97,123,1.23,33,10,96,2019/3/4 22:00
2653,2653,95,134,1.06,26,11,102,2019/3/4 23:00
2654,2654,87,118,1.04,25,11,103,2019/3/5 0:00
2655,2655,88,109,1.16,26,11,96,2019/3/5 1:00
2656,2656,98,113,1.2,24,11,88,2019/3/5 2:00
2657,2657,99,132,1.18,26,11,85,2019/3/5 3:00
2658,2658,99,128,1.28,31,11,78,2019/3/5 4:00
2659,2659,99,129,1.28,32,11,77,2019/3/5 5:00
2660,2660,93,119,1.25,34,11,74,2019/3/5 6:00
2661,2661,94,116,1.27,37,11,71,2019/3/5 7:00
2662,2662,91,119,1.22,44,10,65,2019/3/5 8:00
2663,2663,91,103,1.29,52,10,56,2019/3/5 9:00
2664,2664,81,89,1.24,39,10,64,2019/3/5 10:00
2665,2665,78,85,1.28,36,10,74,2019/3/5 11:00
2666,2666,,,,,,,2019/3/5 12:00
2667,2667,,,,,,,2019/3/5 13:00
2668,2668,,,,,,,2019/3/5 14:00
2669,2669,,,,,,,2019/3/5 15:00
2670,2670,,,,,,,2019/3/5 16:00
2671,2671,57,63,1.1,38,10,63,2019/3/5 17:00
2672,2672,,,,,,,2019/3/5 18:00
2673,2673,59,63,1.3,47,10,50,2019/3/5 19:00
2674,2674,,,,,,,2019/3/5 20:00
2675,2675,,,,,,,2019/3/5 21:00
2676,2676,,,,,,,2019/3/5 22:00
2677,2677,,,,,,,2019/3/5 23:00
2678,2678,89,92,1.19,30,10,65,2019/3/6 0:00
2679,2679,93,97,1.11,20,9,77,2019/3/6 1:00
2680,2680,,,,,,,2019/3/6 2:00
2681,2681,,,,,,,2019/3/6 3:00
2682,2682,99,105,1.18,33,10,53,2019/3/6 4:00
2683,2683,91,101,1.27,36,9,68,2019/3/6 5:00
2684,2684,,,,,,,2019/3/6 6:00
2685,2685,143,160,3.08,53,10,40,2019/3/6 7:00
2686,2686,176,185,3.79,49,11,44,2019/3/6 8:00
2687,2687,188,214,2.3,49,12,48,2019/3/6 9:00
2688,2688,111,131,1.67,35,11,68,2019/3/6 10:00
2689,2689,87,110,1.84,40,12,67,2019/3/6 11:00
2690,2690,93,114,2.11,39,13,73,2019/3/6 12:00
2691,2691,107,139,2.09,44,14,76,2019/3/6 13:00
2692,2692,111,138,1.74,36,12,91,2019/3/6 14:00
2693,2693,102,119,1.74,45,12,89,2019/3/6 15:00
2694,2694,94,129,1.21,42,11,93,2019/3/6 16:00
2695,2695,54,100,1.58,98,10,48,2019/3/6 17:00
2696,2696,73,113,2.14,136,13,12,2019/3/6 18:00
2697,2697,96,170,2.15,132,13,12,2019/3/6 19:00
2698,2698,87,155,1.47,110,12,21,2019/3/6 20:00
2699,2699,54,110,1.22,36,12,76,2019/3/6 21:00
2700,2700,90,133,1.3,31,11,82,2019/3/6 22:00
2701,2701,94,145,1.14,18,10,88,2019/3/6 23:00
2702,2702,80,132,1.36,19,10,88,2019/3/7 0:00
2703,2703,116,153,1.37,18,10,90,2019/3/7 1:00
2704,2704,116,147,1.44,22,11,80,2019/3/7 2:00
2705,2705,137,161,1.36,22,11,79,2019/3/7 3:00
2706,2706,116,144,1.15,27,10,74,2019/3/7 4:00
2707,2707,70,103,1.08,24,10,64,2019/3/7 5:00
2708,2708,63,102,1,30,11,60,2019/3/7 6:00
2709,2709,47,91,0.92,24,10,62,2019/3/7 7:00
2710,2710,36,92,0.95,24,10,61,2019/3/7 8:00
2711,2711,32,88,0.98,22,11,65,2019/3/7 9:00
2712,2712,37,82,0.94,23,10,66,2019/3/7 10:00
2713,2713,31,71,0.79,18,10,66,2019/3/7 11:00
2714,2714,22,55,0.8,18,10,70,2019/3/7 12:00
2715,2715,14,50,0.79,17,10,73,2019/3/7 13:00
2716,2716,20,46,0.79,15,10,80,2019/3/7 14:00
2717,2717,32,45,0.83,19,10,78,2019/3/7 15:00
2718,2718,25,47,0.9,23,10,80,2019/3/7 16:00
2719,2719,24,55,0.9,28,11,80,2019/3/7 17:00
2720,2720,30,58,0.88,35,10,79,2019/3/7 18:00
2721,2721,36,61,0.91,42,11,62,2019/3/7 19:00
2722,2722,,,,,,,2019/3/7 20:00
2723,2723,,,,,,,2019/3/7 21:00
2724,2724,32,67,0.97,53,10,44,2019/3/7 22:00
2725,2725,25,66,0.94,33,10,50,2019/3/7 23:00
2726,2726,31,56,0.96,26,10,56,2019/3/8 0:00
2727,2727,,,,,,,2019/3/8 1:00
2728,2728,30,49,0.9,26,10,59,2019/3/8 2:00
2729,2729,28,49,1,33,10,49,2019/3/8 3:00
2730,2730,,,,,,,2019/3/8 4:00
2731,2731,34,55,1.42,44,11,37,2019/3/8 5:00
2732,2732,43,67,1.6,55,12,29,2019/3/8 6:00
2733,2733,46,86,1.35,41,12,42,2019/3/8 7:00
2734,2734,45,81,1.25,33,13,52,2019/3/8 8:00
2735,2735,38,66,1.08,31,11,57,2019/3/8 9:00
2736,2736,25,59,0.93,25,10,65,2019/3/8 10:00
2737,2737,18,47,0.9,23,10,66,2019/3/8 11:00
2738,2738,23,48,0.96,21,10,69,2019/3/8 12:00
2739,2739,19,49,0.93,23,10,72,2019/3/8 13:00
2740,2740,25,52,0.95,28,10,71,2019/3/8 14:00
2741,2741,27,60,1.04,28,11,77,2019/3/8 15:00
2742,2742,32,60,1.02,33,11,72,2019/3/8 16:00
2743,2743,35,70,1.07,37,11,77,2019/3/8 17:00
2744,2744,39,70,1.03,33,11,76,2019/3/8 18:00
2745,2745,36,63,0.97,30,10,82,2019/3/8 19:00
2746,2746,34,54,1.02,29,10,74,2019/3/8 20:00
2747,2747,27,49,0.93,30,11,75,2019/3/8 21:00
2748,2748,27,52,0.95,26,10,70,2019/3/8 22:00
2749,2749,33,50,0.96,28,10,63,2019/3/8 23:00
2750,2750,38,59,1,27,11,59,2019/3/9 0:00
2751,2751,37,60,1,25,10,60,2019/3/9 1:00
2752,2752,36,58,0.98,23,11,64,2019/3/9 2:00
2753,2753,34,51,1.01,22,10,58,2019/3/9 3:00
2754,2754,37,54,1.04,23,11,56,2019/3/9 4:00
2755,2755,38,53,1.11,28,10,47,2019/3/9 5:00
2756,2756,40,59,1.15,38,11,46,2019/3/9 6:00
2757,2757,38,68,1.12,40,11,45,2019/3/9 7:00
2758,2758,43,84,1.15,41,12,47,2019/3/9 8:00
2759,2759,49,77,1.25,46,12,46,2019/3/9 9:00
2760,2760,54,90,1.67,54,12,44,2019/3/9 10:00
2761,2761,50,84,1.59,57,13,47,2019/3/9 11:00
2762,2762,56,90,1.52,56,12,45,2019/3/9 12:00
2763,2763,53,96,1.47,53,12,59,2019/3/9 13:00
2764,2764,54,95,1.33,36,12,78,2019/3/9 14:00
2765,2765,52,91,1.61,38,12,83,2019/3/9 15:00
2766,2766,64,99,1.87,72,13,63,2019/3/9 16:00
2767,2767,83,137,1.5,56,12,76,2019/3/9 17:00
2768,2768,73,105,1.52,56,11,78,2019/3/9 18:00
2769,2769,74,113,1.73,81,11,39,2019/3/9 19:00
2770,2770,81,120,1.66,89,11,32,2019/3/9 20:00
2771,2771,90,131,1.72,95,12,17,2019/3/9 21:00
2772,2772,90,130,1.51,92,11,34,2019/3/9 22:00
2773,2773,94,124,1.44,82,11,36,2019/3/9 23:00
2774,2774,88,121,1.57,81,10,29,2019/3/10 0:00
2775,2775,89,118,1.53,89,11,27,2019/3/10 1:00
2776,2776,89,116,1.44,77,11,36,2019/3/10 2:00
2777,2777,86,113,1.61,77,12,27,2019/3/10 3:00
2778,2778,95,127,1.71,75,13,28,2019/3/10 4:00
2779,2779,101,124,1.74,51,13,32,2019/3/10 5:00
2780,2780,104,126,2.18,46,12,33,2019/3/10 6:00
2781,2781,128,157,1.96,42,12,39,2019/3/10 7:00
2782,2782,125,144,1.39,37,12,47,2019/3/10 8:00
2783,2783,105,116,1.47,39,11,54,2019/3/10 9:00
2784,2784,85,108,1.45,34,11,64,2019/3/10 10:00
